nom du vin;vintage;appelation;couleur;ID_wine;ID_Item;prix;occasion de degust;food_pairing;food_pairing_french;gws
Le Gay;2006;Pomerol;Red;1800;1800-2006;110,04;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,42
La Violette;2006;Pomerol;Red;1745;1745-2006;110,54;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,58
Pavie Decesse;2008;Saint Emilion;Red;1944;1944-2008;111,31;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,33
Branaire Ducru;2005;Saint Julien;Red;1788;1788-2005;111,5;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,4
Chapelle de La Mission Haut Brion;2010;Pessac Leognan;Red;1312;1312-2010;112,13;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,83
Saint Pierre;2000;Saint Julien;Red;1858;1858-2000;113,08;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88
Clinet;1998;Pomerol;Red;1348;1348-1998;114;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,03
Vieux Chateau Certan;2003;Pomerol;Red;2141;2141-2003;114,44;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,11
Climens;1988;Sauternes;Sweet;1347;1347-1988;115,99;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;94,08
Tertre Roteboeuf;2012;Saint Emilion;Red;2102;2102-2012;116,68;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,11
Figeac;2003;Saint Emilion;Red;1519;1519-2003;117,14;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,46
Canon La Gaffeliere;1982;Saint Emilion;Red;1280;1280-1982;117,25;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,12
Grand Puy Lacoste;1989;Pauillac;Red;1346;1346-1989;117,38;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,79
Clos Dubreuil;2000;Saint Emilion;Red;1367;1367-2000;117,45;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,19
Montrose;1995;Saint Estephe;Red;1593;1593-1995;119,64;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,34
Cos d'Estournel;1988;Saint Estephe;Red;1497;1497-1988;121,25;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,72
Climens;1990;Sauternes;Sweet;1347;1347-1990;123,2;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;95,16
Tertre Roteboeuf;2011;Saint Emilion;Red;2102;2102-2011;123,77;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,21
Haut Bailly;2010;Pessac Leognan;Red;1595;1595-2010;124,26;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,16
de Fargues;2009;Sauternes;Sweet;1433;1433-2009;124,6;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;94,91
Petit Cheval;2014;Saint Emilion;Red;1958;1958-2014;124,88;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,73
Pavie Decesse;2012;Saint Emilion;Red;1944;1944-2012;124,95;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,97
La Gomerie;1998;Saint Emilion;Red;1701;1701-1998;125;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,5
de Fargues;2010;Sauternes;Sweet;1433;1433-2010;125,94;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,14
Vieux Chateau Certan;2006;Pomerol;Red;2141;2141-2006;126,8;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,81
Pavie Decesse;2005;Saint Emilion;Red;1944;1944-2005;127,74;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,48
Figeac;1996;Saint Emilion;Red;1519;1519-1996;127,94;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,69
de Fargues;1990;Sauternes;Sweet;1433;1433-1990;128;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;92,66
Montrose;1996;Saint Estephe;Red;1593;1593-1996;128,55;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,6
Pensees de Lafleur;2000;Pomerol;Red;1956;1956-2000;129,2;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,67
Clos Fourtet;2001;Saint Emilion;Red;1370;1370-2001;129,25;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,19
Pontet Canet;1990;Pauillac;Red;1491;1491-1990;130,57;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,02
Clarence de Haut Brion;2009;Pessac Leognan;Red;1336;1336-2009;130,81;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,25
Grand Puy Lacoste;1996;Pauillac;Red;1346;1346-1996;130,88;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,43
Vieux Chateau Certan;2001;Pomerol;Red;2141;2141-2001;131,91;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,65
Le Gay;2009;Pomerol;Red;1800;1800-2009;132,28;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,95
Clos Fourtet;2010;Saint Emilion;Red;1370;1370-2010;135;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,32
Clarence de Haut Brion;2005;Pessac Leognan;Red;1336;1336-2005;135,27;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,77
Beau Sejour Becot;2000;Saint Emilion;Red;1202;1202-2000;135,75;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,28
Grand Puy Lacoste;2000;Pauillac;Red;1346;1346-2000;136,52;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,63
Clarence de Haut Brion;2008;Pessac Leognan;Red;1336;1336-2008;136,65;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,28
Pontet Canet;2000;Pauillac;Red;1491;1491-2000;137,93;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,09
Clinet;2006;Pomerol;Red;1348;1348-2006;138;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,72
Canon La Gaffeliere;1998;Saint Emilion;Red;1280;1280-1998;138;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,93
Leoville Las Cases;1998;Saint Julien;Red;1580;1580-1998;138,17;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,69
La Gomerie;1996;Saint Emilion;Red;1701;1701-1996;139,8;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,76
Petit Cheval;2009;Saint Emilion;Red;1958;1958-2009;139,9;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,36
Clarence de Haut Brion;2003;Pessac Leognan;Red;1336;1336-2003;140;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,59
Figeac;1985;Saint Emilion;Red;1519;1519-1985;140,08;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,3
Lynch Bages;1988;Pauillac;Red;1408;1408-1988;140,53;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,02
La Mondotte;2014;Saint Emilion;Red;1717;1717-2014;142,37;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,61
Pichon Baron;1996;Pauillac;Red;1596;1596-1996;142,93;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,59
Clos Saint Martin;2005;Saint Emilion;Red;1384;1384-2005;142,98;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,11
Vieux Chateau Certan;2011;Pomerol;Red;2141;2141-2011;143,26;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;96,21
La Mondotte;2004;Saint Emilion;Red;1717;1717-2004;143,55;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,89
Sociando Mallet;1996;Haut Medoc;Red;2085;2085-1996;144;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,51
Leoville Las Cases;1999;Saint Julien;Red;1580;1580-1999;144,16;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,33
Pichon Baron;1995;Pauillac;Red;1596;1596-1995;144,57;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,99
Clos Fourtet;2005;Saint Emilion;Red;1370;1370-2005;145,38;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,95
Clarence de Haut Brion;2010;Pessac Leognan;Red;1336;1336-2010;146,96;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,09
Petit Cheval;2004;Saint Emilion;Red;1958;1958-2004;147,24;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,58
Rieussec;2001;Sauternes;Sweet;2030;2030-2001;147,9;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;97,29
Pavillon Blanc;2014;Bordeaux;White;1946;1946-2014;149;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;94,75
Vieux Chateau Certan;2012;Pomerol;Red;2141;2141-2012;149,07;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,75
Petit Cheval;2005;Saint Emilion;Red;1958;1958-2005;149,23;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,23
Petit Cheval;2008;Saint Emilion;Red;1958;1958-2008;150;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,37
Beauregard;1998;Pomerol;Red;1206;1206-1998;150;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,57
Valandraud;2011;Saint Emilion;Red;2133;2133-2011;152,74;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,83
Canon La Gaffeliere;1999;Saint Emilion;Red;1280;1280-1999;155,08;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,96
Leoville Las Cases;2001;Saint Julien;Red;1580;1580-2001;158,48;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,93
Pavillon Blanc;2012;Bordeaux;White;1946;1946-2012;160,3;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;92,45
Leoville Las Cases;2003;Saint Julien;Red;1580;1580-2003;162,44;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,52
Climens;2001;Sauternes;Sweet;1347;1347-2001;162,7;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;97,09
La Mondotte;1998;Saint Emilion;Red;1717;1717-1998;162,7;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,25
Le Gay;2005;Pomerol;Red;1800;1800-2005;163,43;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,34
Pavillon Blanc;2004;Bordeaux;White;1946;1946-2004;166,35;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;92,9
La Mondotte;2001;Saint Emilion;Red;1717;1717-2001;167,48;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,41
Clinet;1995;Pomerol;Red;1348;1348-1995;168;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,65
La Violette;2011;Pomerol;Red;1745;1745-2011;168,56;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,86
Leoville Las Cases;2002;Saint Julien;Red;1580;1580-2002;169,91;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,67
Pavillon Blanc;2011;Bordeaux;White;1946;1946-2011;170;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;93,76
Le Gay;2010;Pomerol;Red;1800;1800-2010;170;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,34
Leoville Las Cases;2004;Saint Julien;Red;1580;1580-2004;171,16;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,77
Leoville Las Cases;1989;Saint Julien;Red;1580;1580-1989;172,54;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,64
Pavillon Blanc;2007;Bordeaux;White;1946;1946-2007;175;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;93,72
Leoville Las Cases;2006;Saint Julien;Red;1580;1580-2006;175,37;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;96,05
La Mondotte;2003;Saint Emilion;Red;1717;1717-2003;177,06;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,31
Tertre Roteboeuf;2010;Saint Emilion;Red;2102;2102-2010;179,5;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;96,06
Figeac;1989;Saint Emilion;Red;1519;1519-1989;181,45;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,57
Leoville Las Cases;1983;Saint Julien;Red;1580;1580-1983;181,83;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,1
Lynch Bages;1985;Pauillac;Red;1408;1408-1985;181,87;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,5
Pavie Decesse;2003;Saint Emilion;Red;1944;1944-2003;186;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,41
Pavillon Blanc;2008;Bordeaux;White;1946;1946-2008;186,7;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;91,07
Carruades de Lafite;1998;Pauillac;Red;1299;1299-1998;195,31;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,42
Pavillon Blanc;2006;Bordeaux;White;1946;1946-2006;199;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;93,06
Carruades de Lafite;1995;Pauillac;Red;1299;1299-1995;200,98;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,59
Vieux Chateau Certan;2005;Pomerol;Red;2141;2141-2005;202,75;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,73
La Mondotte;2015;Saint Emilion;Red;1717;1717-2015;203,97;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,52
Pavie Decesse;2009;Saint Emilion;Red;1944;1944-2009;210,6;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,49
Cos d'Estournel;1990;Saint Estephe;Red;1497;1497-1990;211,69;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,52
Sociando Mallet;1990;Haut Medoc;Red;2085;2085-1990;214,12;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,8
Figeac;1990;Saint Emilion;Red;1519;1519-1990;214,51;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,77
Larcis Ducasse;2005;Saint Emilion;Red;1779;1779-2005;216,73;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,7
Carruades de Lafite;2001;Pauillac;Red;1299;1299-2001;217,5;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89
Pichon Baron;1988;Pauillac;Red;1596;1596-1988;223,13;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,01
Angelus;1985;Saint Emilion;Red;1173;1173-1985;223,84;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,62
Valandraud;2010;Saint Emilion;Red;2133;2133-2010;224,31;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,63
Figeac;1998;Saint Emilion;Red;1519;1519-1998;225,38;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,48
Carruades de Lafite;2011;Pauillac;Red;1299;1299-2011;225,71;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,09
Vieux Chateau Certan;1998;Pomerol;Red;2141;2141-1998;229;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,78
Grand Puy Lacoste;1990;Pauillac;Red;1346;1346-1990;229,69;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,21
Carruades de Lafite;2004;Pauillac;Red;1299;1299-2004;232,61;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,06
Valandraud;2004;Saint Emilion;Red;2133;2133-2004;233,17;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,61
Clos Fourtet;2009;Saint Emilion;Red;1370;1370-2009;236,79;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,67
Carruades de Lafite;2009;Pauillac;Red;1299;1299-2009;240,69;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,63
Carruades de Lafite;2010;Pauillac;Red;1299;1299-2010;244,17;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,67
Carruades de Lafite;1996;Pauillac;Red;1299;1299-1996;244,45;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,41
Palmer;2001;Margaux;Red;2094;2094-2001;245,77;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,27
Leoville Las Cases;2005;Saint Julien;Red;1580;1580-2005;249,43;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;98,38
Petit Cheval;2010;Saint Emilion;Red;1958;1958-2010;250,03;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,12
Vieux Chateau Certan;1990;Pomerol;Red;2141;2141-1990;252,65;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,67
Leoville Las Cases;1996;Saint Julien;Red;1580;1580-1996;254,39;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,46
Clinet;2009;Pomerol;Red;1348;1348-2009;257,75;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,59
Guiraud;1989;Sauternes;Sweet;1589;1589-1989;265;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;89,92
Petit Cheval;2011;Saint Emilion;Red;1958;1958-2011;266;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,51
Montrose;1982;Saint Estephe;Red;1593;1593-1982;268,74;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,29
Petit Cheval;2006;Saint Emilion;Red;1958;1958-2006;270;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,07
Leoville Las Cases;1985;Saint Julien;Red;1580;1580-1985;270,48;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,61
Petit Cheval;2007;Saint Emilion;Red;1958;1958-2007;275;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,3
Chasse Spleen;1989;Moulis en Medoc;Red;1321;1321-1989;275;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,37
Valandraud;2009;Saint Emilion;Red;2133;2133-2009;275,14;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,63
Clarence de Haut Brion;2000;Pessac Leognan;Red;1336;1336-2000;280;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,67
Pavillon Blanc;2009;Bordeaux;White;1946;1946-2009;281,5;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;93,12
Pichon Baron;1989;Pauillac;Red;1596;1596-1989;281,96;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,63
Leoville Las Cases;2000;Saint Julien;Red;1580;1580-2000;285,28;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;98,89
Leoville Las Cases;1990;Saint Julien;Red;1580;1580-1990;288,94;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,91
Valandraud;2005;Saint Emilion;Red;2133;2133-2005;292,15;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,22
