nom du vin;vintage;appelation;couleur;ID_wine;ID_Item;prix;occasion de degust;food_pairing;food_pairing_french;gws
Soutard;2012;Saint Emilion;Red;2090;2090-2012;39,2;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,81
Sanctus;2005;Saint Emilion;Red;2066;2066-2005;39,26;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,46
La Fleur de Bouard;2003;Lalande de Pomerol;Red;1682;1682-2003;39,68;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,73
Fleur Cardinale;2012;Saint Emilion;Red;1522;1522-2012;39,99;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,65
Dame de Montrose;2009;Saint Estephe;Red;1415;1415-2009;40;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,7
Phelan Segur;2000;Saint Estephe;Red;1973;1973-2000;40,2;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,47
Dassault;2008;Saint Emilion;Red;1422;1422-2008;40,2;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,21
Fonplegade;2011;Saint Emilion;Red;1533;1533-2011;40,2;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,3
Grand Mayne;2012;Saint Emilion;Red;1574;1574-2012;40,25;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,61
Malartic Lagraviere;2012;Pessac Leognan;Red;1850;1850-2012;40,32;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,11
Chasse Spleen;1997;Moulis en Medoc;Red;1321;1321-1997;40,33;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;81,43
Potensac;2003;Medoc;Red;1991;1991-2003;40,33;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,21
Potensac;2005;Medoc;Red;1991;1991-2005;40,33;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,12
Haut Marbuzet;2002;Saint Estephe;Red;1614;1614-2002;40,33;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,5
Haut Bages Liberal;2001;Pauillac;Red;1391;1391-2001;40,68;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,8
Nenin;2009;Pomerol;Red;1915;1915-2009;40,71;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,52
Grand Mayne;2011;Saint Emilion;Red;1574;1574-2011;41;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,72
Fonplegade;2012;Saint Emilion;Red;1533;1533-2012;41;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,7
Langoa Barton;2012;Saint Julien;Red;2014;2014-2012;41,09;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,55
Domaine de Chevalier;2014;Pessac Leognan;Red;1471;1471-2014;41,58;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,53
Saint Pierre;2013;Saint Julien;Red;1858;1858-2013;41,58;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,54
Domaine de Chevalier;2004;Pessac Leognan;Red;1471;1471-2004;41,63;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,58
Saint Pierre;1994;Saint Julien;Red;1858;1858-1994;41,9;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,78
Domaine de Chevalier;2012;Pessac Leognan;Red;1471;1471-2012;41,94;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,34
Rayne Vigneau;2012;Sauternes;Sweet;2017;2017-2012;41,95;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;88,11
Rieussec;1995;Sauternes;Sweet;2030;2030-1995;41,97;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;87,12
Virginie de Valandraud;2009;Saint Emilion;Red;2152;2152-2009;41,97;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,98
La Tour Carnet;2006;Haut Medoc;Red;1812;1812-2006;42;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,9
